"Bldg_Type","Longitude","Latitude","Sale_Price"
"OneFam",-93.684451,42.013641,210000
"OneFam",-93.681479,42.017856,227000
"TwoFmCon",-93.639428,42.01359,157000
"OneFam",-93.655988,42.050411,315000
"OneFam",-93.684116,42.015793,195800
"OneFam",-93.655739,42.05443,348000
"OneFam",-93.643489,42.011793,223000
"OneFam",-93.600066,41.991885,172000
"OneFam",-93.608954,42.03128,130000
"OneFam",-93.661944,42.017726,144500
"OneFam",-93.6261431,42.0471033,147000
"OneFam",-93.641155,42.016827,250000
"TwnhsE",-93.633797,42.06076,180000
"OneFam",-93.621532,42.033366,105000
"OneFam",-93.643039,42.062004,159895
"OneFam",-93.6193873,42.052659,172000
"OneFam",-93.629496,42.020855,85000
"OneFam",-93.669544,42.033686,145000
"OneFam",-93.610875,42.042728,163500
"OneFam",-93.68675,42.016212,200000
"OneFam",-93.621501,42.033336,131000
"Duplex",-93.6791142,42.0362103,144000
"OneFam",-93.67318,42.018922,171500
"TwnhsE",-93.683728,42.016252,155900
"OneFam",-93.604923,41.991612,146800
"OneFam",-93.623643,42.032399,113000
"OneFam",-93.615337,42.027953,144000
"OneFam",-93.627112,42.053395,126000
"OneFam",-93.606944,41.996888,251000
"TwnhsE",-93.681297,42.016274,144000
"OneFam",-93.629256,42.035379,79900
"OneFam",-93.632571,42.058136,275000
"OneFam",-93.633962,42.050346,190000
"OneFam",-93.642793,42.014682,266500
"OneFam",-93.620651,42.039211,197600
"OneFam",-93.633796,42.052915,278000
"OneFam",-93.6051157,42.0272703,110000
"TwoFmCon",-93.612239,42.029084,163000
"TwnhsE",-93.649291,42.058284,202500
"OneFam",-93.657017,42.034411,137500
"OneFam",-93.685029,42.034678,171000
"OneFam",-93.625926,42.03047,153000
"OneFam",-93.66751,42.020196,140000
"OneFam",-93.618428,42.03981,136000
"TwnhsE",-93.603111,41.99217,80000
"OneFam",-93.610611,42.035921,119200
"OneFam",-93.687819,42.017109,250000
"OneFam",-93.603704,42.036792,155000
"OneFam",-93.655674,42.022091,117000
"OneFam",-93.659279,42.032564,63900
"OneFam",-93.612265,42.035938,139000
"OneFam",-93.663054,42.028381,240000
"TwnhsE",-93.648705,42.044419,217500
"OneFam",-93.690215,42.017631,214000
"TwnhsE",-93.686267,42.035555,172000
"TwnhsE",-93.641635,42.06257,160000
"OneFam",-93.623632,42.031493,123000
"OneFam",-93.669606,42.026185,216000
"OneFam",-93.631245,42.04378,240000
"OneFam",-93.610623,42.037329,143000
"OneFam",-93.621504,42.027854,155000
"OneFam",-93.628269,42.058816,470000
"OneFam",-93.663509,42.020783,111000
"TwoFmCon",-93.616969,42.020077,119600
"OneFam",-93.688577,42.016913,205000
"OneFam",-93.6428055,42.0191252,205000
"OneFam",-93.6192014,42.0381282,129000
"TwnhsE",-93.624575,42.05057,155000
"OneFam",-93.607957,42.037203,119000
"OneFam",-93.606743,42.036053,133700
"OneFam",-93.658232,42.037103,373000
"OneFam",-93.634634,42.048009,185000
"OneFam",-93.624591,42.031049,128000
"OneFam",-93.691433,42.024613,200000
"OneFam",-93.671926,42.034663,129200
"TwoFmCon",-93.625436,42.028544,129000
"OneFam",-93.615465,42.036002,125000
"OneFam",-93.608359,41.992193,115000
"TwoFmCon",-93.6246096,42.0242331,82375
"TwnhsE",-93.624373,42.055318,184000
"OneFam",-93.644527,42.004509,335000
"OneFam",-93.637463,42.043306,205000
"OneFam",-93.619754,42.054035,215000
"OneFam",-93.659855,42.022754,108000
"OneFam",-93.605839,42.03548,134500
"OneFam",-93.64021,42.060021,211000
"OneFam",-93.664779,42.022478,118000
"OneFam",-93.644457,42.062058,174000
"OneFam",-93.670114,42.03009,270000
"OneFam",-93.63724,42.05026,152000
"Duplex",-93.6435257,42.0199537,145000
"TwoFmCon",-93.6618779,42.0244599,107500
"OneFam",-93.668212,42.023982,121500
"OneFam",-93.610604,42.034811,138000
"OneFam",-93.658537,42.022824,120000
"OneFam",-93.646099,41.999553,176000
"OneFam",-93.646788,41.996089,187500
"OneFam",-93.608927,42.038349,135000
"OneFam",-93.655159,42.052361,269790
"TwnhsE",-93.632013,42.059518,189000
"OneFam",-93.692135,42.021176,143000
"OneFam",-93.663619,42.03387,85000
"Twnhs",-93.604252,41.991786,91000
"OneFam",-93.607723,42.032357,108500
"OneFam",-93.687684,42.015914,207000
"OneFam",-93.685571,42.016979,230000
"OneFam",-93.626022,42.03179,140200
"OneFam",-93.648415,42.016086,131000
"OneFam",-93.612264,42.039445,100000
"OneFam",-93.65604,42.059241,386250
"TwnhsE",-93.642116,42.063301,213490
"OneFam",-93.637279,42.05701,185000
"OneFam",-93.651635,42.017083,168000
"OneFam",-93.623666,42.03337,164900
"OneFam",-93.62454,42.031499,115000
"OneFam",-93.622769,42.056375,115000
"OneFam",-93.6030815,41.9881729,139000
"TwoFmCon",-93.6217097,42.0260296,97500
"OneFam",-93.616848,42.021506,40000
"Duplex",-93.608343,41.99329,215000
"OneFam",-93.613899,42.034574,156500
"OneFam",-93.66636,42.033277,165000
"OneFam",-93.629313,42.035482,76500
"OneFam",-93.623642,42.032299,114500
"OneFam",-93.607174,42.039987,148000
"OneFam",-93.6176367,42.0303538,135000
"OneFam",-93.639407,42.0125,224000
"OneFam",-93.669806,42.033225,129500
"OneFam",-93.687518,42.018839,158000
"OneFam",-93.657835,42.062789,610000
"OneFam",-93.645713,42.044693,162500
"TwnhsE",-93.649361,42.042565,155000
"OneFam",-93.6220148,42.0593867,169000
"OneFam",-93.676369,42.020995,149900
"OneFam",-93.682032,42.031077,225000
"OneFam",-93.690364,42.025577,272500
"OneFam",-93.643539,42.01141,315000
"OneFam",-93.686931,42.013952,208500
"OneFam",-93.625313,42.0228,75200
"OneFam",-93.626097,42.045728,155000
"OneFam",-93.637299,42.057006,160000
"OneFam",-93.6353259,42.0524029,188900
"OneFam",-93.618634,42.043988,136500
"OneFam",-93.6600396,42.0277962,125000
"Duplex",-93.601089,41.991574,146500
"OneFam",-93.637343,42.053532,260000
"Twnhs",-93.648143,42.043704,206000
"OneFam",-93.626689,42.021497,152000
"OneFam",-93.623636,42.042124,151500
"OneFam",-93.621344,42.042485,124000
"OneFam",-93.604106,42.039568,242000
"OneFam",-93.660522,42.034532,140000
"TwnhsE",-93.603398,41.991824,85500
"OneFam",-93.657967,42.061284,450000
"OneFam",-93.628047,42.05346,123000
"OneFam",-93.689019,42.017766,191000
"OneFam",-93.688803,42.036089,190500
"OneFam",-93.631795,42.056211,151500
"OneFam",-93.651811,42.018837,140000
"OneFam",-93.6436049,42.059803,178000
"OneFam",-93.658224,42.062776,451950
"OneFam",-93.610438,42.029025,475000
"OneFam",-93.596569,42.022658,87000
"OneFam",-93.623556,42.03713,165500
"OneFam",-93.604836,42.036949,187000
